,1,2,3,4,5,6,7,8,9,10,11,12
A,0.162,0.164,0.162,0.056,0.052,0.049,0.163,0.160,0.160,0.045,0.046,0.041
B,0.159,0.144,0.145,0.047,0.054,0.053,0.150,0.138,0.140,0.040,0.041,0.044
C,0.127,0.125,0.131,0.036,0.041,0.030,0.137,0.116,0.119,0.036,0.038,0.032
D,0.108,0.108,0.101,0.038,0.045,0.054,0.107,0.094,0.093,0.044,0.040,0.044
E,0.092,0.091,0.084,0.045,0.057,0.045,0.095,0.087,0.082,0.045,0.047,0.048
F,0.068,0.071,0.066,0.043,0.043,0.041,0.074,0.071,0.060,0.042,0.042,0.041
G,0.060,0.058,0.060,0.042,0.043,0.040,0.061,0.060,0.056,0.044,0.048,0.052
H,0.052,0.054,0.053,0.047,0.052,0.049,0.062,0.057,0.054,0.051,0.048,0.050
