,1,2,3,4,5,6,7,8,9,10,11,12
A,0.197,0.205,0.199,0.054,0.053,0.050,0.206,0.192,0.189,0.047,0.045,0.040
B,0.195,0.182,0.184,0.046,0.051,0.056,0.176,0.171,0.175,0.042,0.041,0.045
C,0.160,0.164,0.162,0.035,0.043,0.030,0.166,0.138,0.146,0.037,0.038,0.033
D,0.135,0.131,0.125,0.039,0.046,0.050,0.132,0.111,0.111,0.045,0.041,0.044
E,0.107,0.109,0.099,0.046,0.057,0.045,0.107,0.103,0.093,0.045,0.048,0.050
F,0.082,0.084,0.074,0.044,0.043,0.043,0.088,0.082,0.067,0.044,0.042,0.045
G,0.068,0.064,0.066,0.042,0.044,0.041,0.066,0.065,0.059,0.046,0.047,0.051
H,0.056,0.057,0.057,0.047,0.051,0.051,0.065,0.062,0.056,0.052,0.049,0.050
